MSE_mean,MSE_std,alpha_mean,alpha_std,avg_pred_std_mean,avg_pred_std_std,ce_mean,ce_std,empirical_coverage_mean,empirical_coverage_std,method,nll_mean,nll_std,spearman_err_unc_mean,spearman_err_unc_std
0.4174659073352814,0.007866723814509927,0.05,0.0,0.7286413245328415,0.003046381085226342,0.0022792994390738756,0.00010592907002761491,0.97,0.003049106779729917,gp_exact,0.9819580005651156,0.007507653730319231,0.17651280821967444,0.009403251784676733
0.4662624329328537,0.022209920569844794,0.05,0.0,0.4114228858367676,0.0040346177565103005,0.0028268603055257185,0.0005108485163245585,0.8030952380952382,0.014523809523809524,gp_nngp,1.4128826801074241,0.0615732074168195,-0.06734993607312997,0.02481413413283406
0.8361554205417633,0.02125061656737171,0.05,0.0,0.8734619926857871,0.0031797326360046697,0.0003385711302064695,6.145287190104829e-05,0.9423809523809524,0.002332847374079209,gp_svgp,1.3311987500744558,0.013491410950743157,0.040381983922816236,0.017791431836472558
0.8200618684291839,0.0704314126278089,0.05,0.0,0.5361735719441671,0.022817699240078117,0.013176390380713684,0.002521496823702223,0.7578571428571428,0.021666666666666667,gp_nnsvgp,1.7501300430160616,0.14472524404642315,0.012999944172772657,0.060541530828338797
0.885554867274639,0.027333927365378933,0.05,0.0,0.9423214390014083,0.006372302451006954,0.00037693042129132435,2.608742233723e-05,0.9573809523809524,0.0029063227656509097,svgp_ensemble_uniform,1.3401158147149368,0.013970465029187452,0.21317875951677387,0.029037737907169906
0.8882973948101895,0.026356027015018053,0.05,0.0,0.9411091657017006,0.006082001802175053,0.00037832229382981335,3.4851906158578534e-05,0.9571428571428571,0.0030116930096841864,svgp_ensemble_precision,1.3414452682099793,0.013581477712347422,0.21362963670833546,0.02917473920829221
0.8806572381166632,0.03213807138145736,0.05,0.0,0.9396148212721622,0.0060427447455105076,0.00037300543024227316,3.309954017179929e-05,0.9559523809523809,0.004791574237499574,svgp_ensemble_mse,1.3381442822266916,0.018751301608326044,0.21360892068548795,0.03329396224759055
0.8887104895487139,0.03016446329605361,0.05,0.0,0.9346142275612952,0.005323712803328648,0.00039038369733858543,5.4393450529145585e-05,0.9549999999999998,0.005971398192373569,svgp_ensemble_nll,1.3418243310518352,0.017809589357013548,0.21348898155398982,0.035261665150904634
0.4976426748428932,0.00613841727421596,0.05,0.0,0.543406802500827,0.004262410016270277,0.0009496195846759759,0.0001276810190289029,0.8852380952380953,0.0063709943620284,nngp_ensemble_uniform,1.1506868030702981,0.014805654713388338,0.2165351277501538,0.03534028865475136
0.497886496421566,0.006183506999650612,0.05,0.0,0.543245178755957,0.004294900944790458,0.0009491735290607473,0.0001496685167848819,0.8866666666666667,0.007468755781599107,nngp_ensemble_precision,1.151463043855894,0.014686018710206304,0.21586342002262376,0.03606294979290623
0.4978377035668287,0.007121072152352027,0.05,0.0,0.539869055083591,0.005343781247951011,0.0009549528583363169,0.00013587371542157656,0.883095238095238,0.00827873269081604,nngp_ensemble_mse,1.1590295657906176,0.015620744920893753,0.20384289512492856,0.027700880228933557
0.498177889524188,0.006269132512572098,0.05,0.0,0.5428064335192652,0.004282951063737493,0.0009459765485141427,7.75097067860155e-05,0.8869047619047619,0.006585388898066367,nngp_ensemble_nll,1.1526524371291926,0.0155766271554974,0.2178129289686576,0.03300042848083504
0.8861592753078684,0.031690831004131705,0.05,0.0,0.7006950835957286,0.018539519530889545,0.0061141096789593,0.0020003431410766785,0.8592857142857143,0.009125603760350876,nnsvgp_ensemble_uniform,1.484534615495758,0.03733356828130697,0.07008102572657812,0.05682625761165289
0.8846394082641164,0.03409326387152116,0.05,0.0,0.6980014816668186,0.019907904973923522,0.006080442176870745,0.0020171162459152823,0.8578571428571429,0.010160280139691377,nnsvgp_ensemble_precision,1.486189198738334,0.03833418185736605,0.06995133597291094,0.05618325716037614
0.8649076056765876,0.036435533581487205,0.05,0.0,0.6602359824092413,0.024456427744020674,0.006821066058002144,0.002361205248441509,0.8335714285714285,0.018052895321207015,nnsvgp_ensemble_mse,1.5156484951376195,0.05920002776289138,0.054295805045865106,0.0640326524116243
0.8710781758516815,0.03847613456648545,0.05,0.0,0.6821781844654046,0.02395685980546417,0.004957667979472488,0.0009102284726833822,0.8476190476190478,0.012463097455526088,nnsvgp_ensemble_nll,1.4893132183148547,0.043674791942411494,0.06399522835001391,0.054385766829256665
